day,new_accounts,anon_message_pct,total_messages,topic_change_pct
2025-03-09,10,28.57,7,0.0
2025-03-10,10,38.46,13,130.0
2025-03-11,10,64.29,14,21.74
2025-03-12,6,60.0,5,39.29
2025-03-13,5,50.0,8,30.77
2025-03-14,14,54.55,11,13.73
2025-03-15,12,70.0,10,22.41
2025-03-16,9,80.0,10,16.9
2025-03-17,10,64.29,14,15.66
2025-03-18,14,42.86,14,5.21
2025-03-19,7,40.0,5,10.89
2025-03-20,8,55.56,9,4.46
2025-03-21,13,46.67,15,11.97
2025-03-22,14,45.45,11,9.16
2025-03-23,5,75.0,8,6.99
2025-03-24,8,23.08,13,8.5
2025-03-25,9,60.0,5,6.63
2025-03-26,15,85.71,7,6.21
2025-03-27,9,22.22,9,7.45
2025-03-28,12,60.0,15,4.95
2025-03-29,13,40.0,5,4.72
2025-03-30,14,66.67,6,4.95
